path,ext,size,modified_utc,last_git_utc,decision,reasons
tools/get_expected_sha.py,.py,781,2025-08-22 15:43:15,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/git_guard.py,.py,7855,2025-08-22 15:55:58,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/guard_patterns.txt,.txt,247,2025-08-23 05:02:36,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/guard_run.ps1,.ps1,1070,2025-08-23 05:02:36,2025-08-23 09:18:45,archive,script:not_managed;stale:58d>=45d
tools/inject_plan_tree_tab.py,.py,2313,2025-08-23 06:16:41,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/install_new.py,.py,1007,2025-08-22 17:09:20,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/interaction_logger.py,.py,3314,2025-08-22 15:55:58,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/lan_diag.ps1,.ps1,1949,2025-08-23 11:18:12,2025-08-23 23:28:49,archive,script:not_managed;stale:57d>=45d
tools/latest_pack_pointer.py,.py,735,2025-08-23 05:26:33,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/leb_client.py,.py,1281,2025-08-22 21:34:22,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/leb_ensure.py,.py,1132,2025-08-22 21:55:34,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/leb_runner.py,.py,1650,2025-08-31 17:54:04,2025-08-31 18:09:49,archive,stale:49d>=45d
tools/leb_server.py,.py,1707,2025-08-22 22:10:20,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/leb_service.py,.py,3621,2025-08-22 21:34:22,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/leb_smoketest.py,.py,967,2025-08-22 22:10:20,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/leb_verify.py,.py,865,2025-08-23 05:11:40,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/make_main_window_candidate.py,.py,1000,2025-08-23 05:42:54,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/make_summary.py,.py,2207,2025-08-22 15:43:15,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/manifest_query.py,.py,5711,2025-08-22 15:55:58,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/mark_29_done.py,.py,687,2025-08-22 15:43:15,2025-08-23 09:18:45,archive,pattern:(^|/).*_done\.py$;stale:58d>=45d
tools/memory_force_stub.py,.py,1311,2025-08-22 15:55:58,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/memory_list.py,.py,2412,2025-08-22 16:35:21,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/memory_rollup.py,.py,3491,2025-08-22 15:55:58,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/memory_sanitize.py,.py,1319,2025-08-22 16:35:21,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/model_classifier.py,.py,4254,2025-08-22 15:55:58,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/model_loader.py,.py,2189,2025-08-22 15:55:58,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/model_ping.py,.py,4913,2025-08-22 15:55:58,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/model_summary_line.py,.py,2050,2025-08-22 15:55:58,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/mw_force_plan_compat.py,.py,1381,2025-08-23 05:51:26,2025-08-23 09:18:45,archive,pattern:(^|/).*_compat\.py$;stale:58d>=45d
tools/pa_agent_start.ps1,.ps1,8084,2025-08-26 23:57:30,2025-08-28 11:00:10,archive,script:not_managed;stale:53d>=45d
tools/pa_contract.txt,.txt,567,2025-08-25 16:28:57,2025-08-25 21:52:20,archive,stale:55d>=45d
tools/pa_gate.ps1,.ps1,1893,2025-08-26 08:39:55,2025-08-28 11:00:10,archive,script:not_managed;stale:53d>=45d
tools/pa_harness.psm1,.psm1,2662,2025-08-24 08:39:06,2025-08-25 21:52:20,archive,script:not_managed;stale:55d>=45d
tools/pa_repair_then_trace.ps1,.ps1,5599,2025-08-27 09:13:10,2025-08-28 11:00:10,archive,script:not_managed;stale:53d>=45d
tools/pa_reply_gate.ps1,.ps1,1205,2025-08-26 07:19:02,2025-08-28 11:00:10,archive,script:not_managed;stale:53d>=45d
tools/pa_runner.ps1,.ps1,2795,2025-08-26 23:44:36,2025-08-28 11:00:10,archive,script:not_managed;stale:53d>=45d
tools/path_utils.py,.py,808,2025-08-22 15:55:58,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/phase4_reorder.py,.py,1765,2025-08-22 15:43:15,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/phone_cfg_dump.py,.py,570,2025-08-23 11:18:12,2025-08-23 23:28:49,archive,stale:57d>=45d
tools/phone_digest.py,.py,1112,2025-08-23 05:51:26,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/phone_listener.py,.py,2491,2025-08-23 11:18:12,2025-08-23 23:28:49,archive,stale:57d>=45d
